Country Name,2015,2016,2017,2018,2019,2020,2021,2022
France,36652.92231,36956.7958,37694.0833,38259.69777,38832.0242,35806.61789,38002.19424,38816.47928
French Polynesia,18252.5142,18573.38493,19260.61953,19471.39011,19856.25906,18321.52796,18575.3862,19262.6132
Gabon,7090.454634,7038.577278,6893.384327,6786.89035,6893.323105,6619.688603,6581.22741,6637.066106
Gambia,611.6712191,606.3162003,618.4807687,645.9381872,668.6351226,655.5761192,666.4710868,678.3617221
Georgia,4014.111651,4128.309196,4327.64749,4539.003515,4773.334964,4447.581935,4931.732445,5438.604177
Germany,41103.25644,41682.03224,42639.55441,42928.74124,43292.68389,41601.97316,42900.02252,43361.17712
Ghana,1711.271317,1728.097077,1827.273918,1899.808422,1981.61375,1951.064469,2009.359083,2031.428339
Gibraltar,,,,,,,,
Greece,18083.87791,18070.78073,18304.30768,18647.49572,19017.99643,17283.24572,18960.89058,20287.7253
Greenland,44536.35497,46561.78314,46597.94525,47012.98604,48170.7897,48139.5826,48514.52713,
Grenada,8379.621847,8621.538901,8933.108249,9252.554034,9247.898382,7915.138714,8223.186698,8688.547802
Guam,34522.37793,34509.60065,34763.08114,34472.9594,35378.95577,31236.07975,31325.3963,
Guatemala,3994.629085,4034.150577,4091.259983,4163.476302,4263.708444,4124.143539,4388.724072,4504.129223
Guinea,756.4255898,816.8470793,878.1792715,910.6526419,937.7031315,959.431973,972.7790298,994.4369972
Guinea-Bissau,585.9570126,607.1663368,627.6169372,620.7710304,633.7257459,604.5951481,613.898112,621.8522261
Guyana,5668.429765,5852.81165,6038.253388,6127.679107,6348.68368,9126.791425,10857.31954,17646.21592
Haiti,1405.714786,1411.14311,1426.633692,1430.818777,1387.514913,1324.283286,1284.477935,1247.89239
Honduras,2257.225284,2303.878504,2373.79156,2423.27606,2446.108097,2190.974369,2428.031947,2487.705612
Hong Kong ,42432.16197,43087.54139,44380.80232,45280.4865,44195.26234,41451.28672,44525.59296,43369.7143
Hungary,12717.0386,13035.35286,13628.40449,14377.42416,15083.59917,14430.47683,15517.04945,16336.24113
Iceland,52951.68151,55513.6423,56501.45768,57697.80442,57493.41953,52486.03905,53960.10337,56429.29978
IDA only,1073.597435,1095.119966,1125.067221,1149.702142,1176.823419,1146.443808,1160.561545,1182.677984
India,1590.174331,1701.184238,1795.91185,1891.138435,1944.314848,1813.534553,1961.960889,2089.734383
Indonesia,3322.581679,3453.04943,3591.780028,3741.305267,3892.421662,3780.121634,3892.962371,4073.610494
Iran,4990.936795,5332.101032,5401.455937,5233.282054,5017.117215,5141.084776,5344.958025,5507.533395
Iraq,4416.942924,4903.823258,4702.400484,4710.976149,4854.386496,4170.392048,4141.388178,4335.783132
Ireland,62179.26427,62566.79784,67652.01992,72478.83824,75281.92153,79441.70868,90589.19673,97316.87751
Isle of Man,84753.45673,90801.10413,93232.58417,95074.37475,95137.2757,86614.11562,,
Israel,36206.52222,37109.02182,37953.04046,38744.16044,39591.36876,38176.75434,40772.97049,42710.77822
Italy,30242.38614,30685.6459,31244.2271,31593.48026,32114.29986,29375.03734,31981.68071,33281.33667
Jamaica,5077.550984,5132.226836,5172.916068,5264.196467,5307.510359,4769.693608,4976.359724,5236.790259
Japan,34960.63938,35242.19938,35861.97285,36138.52908,36043.7844,34650.79678,35701.45427,36202.63927
Jordan,4064.25301,3949.610785,3947.97167,3929.687185,3909.250017,3784.762523,3845.856975,3891.212227
Kazakhstan,10510.77032,10476.34601,10758.51928,11053.36042,11402.75842,10974.24464,11298.35594,11290.89794
Kenya,1496.653573,1525.743551,1550.203457,1604.802932,1653.828985,1616.502404,1705.74039,1754.58548
Kiribati,1459.143983,1430.03708,1410.688255,1459.793962,1405.469465,1357.889095,1437.287665,1433.516321
"Korea, North",,,,,,,,
"Korea, South",28737.43917,29467.12434,30312.88885,31059.26681,31645.94983,31378.15793,32786.692,33719.38642
Kosovo,3520.782075,3739.198744,3890.212833,4009.123596,4219.097557,3990.986234,4429.977664,4724.790547
Kuwait,29315.19851,29134.31905,27244.47083,26664.63332,25777.56876,23929.48287,24832.26504,26913.80116
Kyrgyz Republic,1121.082696,1146.103079,1177.43859,1197.610575,1226.824312,1117.703848,1145.567336,1182.911716
Lao PDR,2125.459057,2240.416347,2358.372664,2467.955762,2564.019654,2539.124525,2566.277422,2599.205079
Latin America & Caribbean,8723.135457,8606.099508,8678.152971,8734.656273,8719.789446,8076.866677,8585.678133,8860.950034
Latin America & Caribbean (excluding high income),8301.026794,8174.806815,8245.885179,8284.787973,8252.048223,7644.439918,8104.280673,8349.861277
Latin America & the Caribbean (IDA & IBRD countries),8577.487766,8458.974426,8534.961302,8595.525435,8578.693736,7953.595302,8468.929671,8738.534058
Latvia,13786.4568,14242.57267,14845.33489,15558.492,15759.08184,15312.33506,16481.52435,17081.34278
Lebanon,7802.751368,8101.709668,8374.740359,8435.637354,8081.743344,6485.72604,6107.454709,
Lesotho,1113.836835,1140.387874,1090.990303,1061.438059,1033.371164,944.2471692,950.2100257,950.6487842
Liberia,699.6629469,675.0596106,678.5791441,673.411392,644.1620652,612.3842476,629.8205547,646.5011599
Libya,7867.515731,7639.232673,9968.916092,10595.24683,9278.27171,6431.462911,8347.142631,8150.631713
Liechtenstein,167809.2699,,,,,,,
Lithuania,14263.96458,14810.25178,15661.99625,16443.58529,17256.40815,17247.54369,18292.53285,18535.07797
Luxembourg,105462.0126,108351.4522,107142.1276,106376.7836,107350.6267,104616.0347,110425.8884,109714.9243
Macau,73220.63556,71394.86114,76970.26821,80342.58758,76789.40658,34410.3458,41869.83924,32482.92055
Madagascar,455.6380346,461.7360481,467.6550676,470.4238983,478.9269614,433.83824,447.7846759,453.858147
Malawi,544.2768727,542.925737,549.6263017,558.5604527,573.400114,562.7830388,563.3619563,554.1985035
Malaysia,9699.600463,9984.163681,10416.04169,10777.76652,11114.56053,10382.72748,10605.67696,11399.39714
Maldives,9480.431514,9688.248288,9972.377144,10453.63553,10888.64457,7164.307392,9731.556191,11035.58248
Mali,723.5042049,741.7976347,756.4280732,767.5715955,779.326625,745.8859848,744.7604273,748.9748181
Malta,24921.71418,25181.4771,27164.30042,28177.54954,29003.58181,26077.62734,29103.69739,30379.5968
Marshall Islands,3703.649059,3867.683892,4109.194457,4454.843544,5054.871188,5059.767277,5281.877607,5306.901555
Mauritania,1562.726836,1541.162878,1595.233276,1628.038855,1635.839997,1588.362034,1559.809845,1616.815714
Mauritius,9507.871337,9868.327166,10247.69606,10652.48369,10956.94502,9362.874359,9679.12124,10570.49546
Mexico,10098.17318,10161.35571,10240.31042,10343.35343,10226.23133,9273.811,9760.445299,10077.38331
"Micronesia, Federated States of",2891.322103,2905.061452,2969.339334,2962.238581,2984.930124,2883.493871,2799.527103,2751.268661
Middle East & North Africa,7217.651624,7396.02608,7394.310051,7421.529723,7379.034981,7002.737592,7228.063914,7550.710698
Middle East & North Africa (excluding high income),3805.679938,3936.998176,3992.072883,3994.96991,3962.559889,3774.398061,3880.311499,3984.803987
Middle East & North Africa (IDA & IBRD countries),3811.773554,3942.205119,3998.160937,4001.666516,3969.392097,3784.452066,3890.187699,3995.502585
Middle income,4715.505443,4874.510532,5069.902069,5261.664373,5415.714186,5298.331084,5635.084785,5795.997904
Moldova,2749.913038,2911.337767,3085.738894,3268.425967,3439.12964,3189.336377,3688.652425,3582.190854
Monaco,170338.6804,173916.3158,168744.9942,178571.348,191194.5622,166822.5718,204610.1204,228667.9353
Mongolia,3919.351213,3892.652204,4023.785623,4242.300222,4385.111677,4106.602683,4107.183721,4249.675014
Montenegro,6517.192675,6707.85041,7023.433812,7381.80764,7684.183972,6515.536806,7390.308117,7889.237633
Morocco,3139.228271,3116.562988,3234.751709,3296.194092,3355.613281,3081.662109,3293.703125,3300.799805
Mozambique,603.8385138,612.7245153,609.6735491,612.59906,608.9636249,584.314952,581.4442716,590.3690443
Myanmar,1159.340201,1219.665351,1284.701741,1355.447672,1434.432263,1295.287012,1131.699045,1169.106833
Namibia,4965.672765,4880.445038,4746.183329,4714.452518,4596.619576,4152.180648,4228.784943,4483.283018
Nauru,7587.25441,8013.685042,7337.106231,7757.560402,8254.109783,8476.007464,8614.544764,8641.761789
Nepal,882.3076634,878.1503885,946.042558,1006.606909,1061.486278,1018.107913,1042.973974,1083.03455
Netherlands,45193.40322,45938.78504,46997.34545,47826.81912,48443.73205,46303.21886,48913.51899,50546.78937
New Caledonia,32428.57223,,,,,,,
New Zealand,38630.72659,39208.76763,39751.61362,40422.34579,40757.36815,39607.87893,41481.98674,42558.93629
Nicaragua,2025.321432,2087.693417,2153.597606,2052.141404,1965.27225,1904.278886,2072.281568,2119.726206
Niger,481.1113011,489.4338123,494.6354943,510.5955143,520.9346433,519.6960778,507.7103245,545.4128982
Nigeria,2679.554223,2570.959759,2526.99961,2512.080475,2505.462239,2401.183415,2429.58529,2449.587981
North America,55452.42138,55919.6128,56815.13085,58119.59409,59105.7679,56807.00703,60035.16285,60961.19647
North Macedonia,4861.55616,4994.561201,5043.694519,5184.696805,5386.20275,5067.215887,5365.476099,5500.399059
Northern Mariana Islands,17665.10075,22995.52741,28549.32658,23242.92544,20796.03042,14703.51161,,
Norway,74809.9658,75017.49447,76247.41166,76373.62411,76712.28713,75287.20595,77812.71157,79442.53345
